DOI,Title,Publication Name,Cover Date
doi:10.1016/j.apcata.2015.04.005,"Influence of VO
                  x
                surface density and vanadyl species on the selective catalytic reduction of NO by NH3 over VO
                  x
               /TiO2 for superior catalytic activity ",Applied Catalysis A: General,2015/6/25
doi:10.1016/j.apcatb.2005.10.011,Inhibition effect of H2O on V2O5/AC catalyst for catalytic reduction of NO with NH3 at low temperature ,Applied Catalysis B: Environmental,2006/3/31
doi:10.1016/j.jhazmat.2019.121032,"CeO2 grafted with different heteropoly acids for selective catalytic reduction of NO
                  x
                with NH3
             ",Journal of Hazardous Materials,2020/1/15
doi:10.1016/j.cattod.2020.01.017,"Optimizing the dual-layer Pt/Al2O3 + Cu/SSZ-13 washcoated monolith: Selective oxidation of NH3 to N2
             ",Catalysis Today,2021/1/15
doi:10.1016/j.combustflame.2022.112289,Interactive effects of NOx synergistic and hydrothermal aging on soot catalytic combustion in Ce-based catalysts ,Combustion and Flame,2022/11/30
doi:10.1016/j.fuproc.2016.08.038,The enhanced Zn resistance of Mn/TiO2 catalyst for NH3-SCR reaction by the modification with Nb ,Fuel Processing Technology,2016/12/15
doi:10.1016/j.ijheatfluidflow.2019.108432,Heat transfer during spray/wall interaction with urea water solution: An experimental parameter study ,International Journal of Heat and Fluid Flow,2019/8/31
doi:10.1016/j.apsusc.2014.09.017,"Surface characterization studies of CuO-CeO2-ZrO2 catalysts for selective catalytic reduction of NO with NH3
             ",Applied Surface Science,2014/10/30
doi:10.1016/j.apsusc.2019.04.199,"The promotion effect of Cr additive on CeZr2Ox catalyst for the low-temperature selective catalytic reduction of NOx with NH3
             ",Applied Surface Science,2019/8/15
doi:10.1016/j.jcat.2018.11.030,"Quantitative study of the NH3-SCR pathway and the active site distribution over CeWO
                  x
                at low temperatures ",Journal of Catalysis,2019/1/31
doi:10.1016/S0926-3373(00)00125-9,"Catalytic reduction of NO
                  x
                by hydrocarbons over Co/ZSM-5 catalysts prepared with different methods ",Applied Catalysis B: Environmental,2000/6/5
doi:10.1016/j.cattod.2018.12.007,"Partially reduced graphene oxide as a support of Mn-Ce/TiO2 catalyst for selective catalytic reduction of NOx with NH3
             ",Catalysis Today,2019/5/15
doi:10.1016/j.cattod.2021.05.013,Micro-structured Cu-ZSM-5 catalyst on aluminum microfibers for selective catalytic reduction of NO by ammonia ,Catalysis Today,2022/2/15
doi:10.1016/S0926-860X(00)00801-2,"Surface properties and reactivity of Cu/γ-Al2O3 catalysts for NO reduction by C3H6
             Influences of calcination temperatures and additives",Applied Catalysis A: General,2001/3/9
doi:10.1016/j.micromeso.2017.11.012,Preparation of SSZ-13 zeolites and their NH3-selective catalytic reduction activity ,Microporous and Mesoporous Materials,2018/5/1
doi:10.1016/j.apcatb.2020.119215,"Insights into the structure-activity relationships of highly efficient CoMn oxides for the low temperature NH3-SCR of NOx
             ",Applied Catalysis B: Environmental,2020/11/15
doi:10.1016/j.cattod.2016.05.021,Evolution of copper species on Cu/SAPO-34 SCR catalysts upon hydrothermal aging ,Catalysis Today,2017/3/1
doi:10.1016/j.jcat.2008.08.009,"Evidence for the facile formation of nitrogen-containing compounds from NO
                  x
                and propene species on tungstated zirconia-based catalysts: Are these compounds active or spectator species in the selective catalytic reduction of NO
                  x
                by C3H6? ",Journal of Catalysis,2008/10/25
doi:10.1016/j.cattod.2011.03.058,Low temperature selective catalytic reduction of NO and NO2 with NH3 over activated carbon-supported vanadium oxide catalyst ,Catalysis Today,2011/10/25
doi:10.1016/j.jece.2016.05.035,A comparative study of LHHW and ER kinetic models for NO oxidation over Co3O4 catalyst ,Journal of Environmental Chemical Engineering,2016/9/30
doi:10.1016/j.jcat.2006.01.034,"Synthesis, characterization, and catalytic function of novel highly dispersed tungsten oxide catalysts on mesoporous silica ",Journal of Catalysis,2006/4/1
doi:10.1016/j.jcis.2016.05.052,Comparison study of Cu-Fe-Ti and Co-Fe-Ti oxide catalysts for selective catalytic reduction of NO with NH3 at low temperature ,Journal of Colloid and Interface Science,2016/9/15
doi:10.1016/j.catcom.2016.07.011,"Property influence and poisoning mechanism of HgCl2 on V2O5-WO3/TiO2 SCR-DeNO
                  x
                catalysts ",Catalysis Communications,2016/10/5
doi:10.1016/j.apcatb.2018.03.024,"Niobium oxide confined by ceria nanotubes as a novel SCR catalyst with excellent resistance to potassium, phosphorus, and lead ",Applied Catalysis B: Environmental,2018/9/5
doi:10.1016/j.cattod.2009.07.051,The beneficial effect of SO2 on platinum migration and NO oxidation over Pt containing monolith catalysts ,Catalysis Today,2009/9/30
doi:10.1016/j.catcom.2008.12.032,Effect of ceria doping on SO2 resistance of Mn/TiO2 for selective catalytic reduction of NO with NH3 at low temperature ,Catalysis Communications,2009/2/15
doi:10.1016/j.apsusc.2016.01.052,"In situ DRIFTS studies on MnO
                  x
                nanowires supported by activated semi-coke for low temperature selective catalytic reduction of NO
                  x
                with NH3
             ",Applied Surface Science,2016/3/15
doi:10.1016/j.cattod.2015.02.029,"Role of surface vanadium oxide coverage support on titania for the simultaneous removal of o-dichlorobenzene and NO
                  x
                from waste incinerator flue gas ",Catalysis Today,2015/10/1
doi:10.1016/j.matchemphys.2004.09.023,Structural aspects of the Co/ZrO2 catalytic system: Effect of the chemical synthesis ,Materials Chemistry and Physics,2005/8/15
doi:10.1016/j.cattod.2017.09.061,"NH3-SCR on Cu, Fe and Cu+Fe exchanged beta and SSZ-13 catalysts: Hydrothermal aging and propylene poisoning effects ",Catalysis Today,2019/1/15
doi:10.1016/j.catcom.2014.03.008,"Study on the NO reduction by NH3 on a SO4
               2−/AC catalyst at low temperature ",Catalysis Communications,2014/5/5
doi:10.1016/j.fuel.2021.120552,Performance of Mo modified γ-Fe2O3 catalyst for selective catalytic reduction of NOx with ammonia: Presence of arsenic in flue gas ,Fuel,2021/6/15
doi:10.1016/j.cej.2021.133836,"Enhanced SO2 resistance of V2O5/WO3-TiO2 catalyst physically mixed with alumina for the selective catalytic reduction of NOx with NH3
             ",Chemical Engineering Journal,2022/4/1
doi:10.1016/j.jclepro.2022.130906,Selective catalytic ozonation of gaseous ammonia to dinitrogen on cryptomelane-type manganese oxide catalysts: Role of oxygen vacancies and acid sites ,Journal of Cleaner Production,2022/4/1
doi:10.1016/j.cej.2015.10.079,"Effect of MnO2 polymorphs structure on the selective catalytic reduction of NO
                  x
                with NH3 over TiO2–Palygorskite ",Chemical Engineering Journal,2016/2/15
doi:10.1016/j.mcat.2018.05.001,High catalytic activity of Mn-based catalyst in NO oxidation at low temperature and over a wide temperature span ,Molecular Catalysis,2018/7/31
doi:10.1016/j.cattod.2019.07.037,The way to enhance the thermal stability of V2O5-based catalysts for NH3-SCR ,Catalysis Today,2020/9/15
doi:10.1016/j.apcata.2017.07.024,Nb-modified Mn/Ce/Ti catalyst for the selective catalytic reduction of NO with NH3 at low temperature ,Applied Catalysis A: General,2017/9/5
doi:10.1016/j.apsusc.2011.03.104,The preparation of vanadium-doped TiO2–montmorillonite nanocomposites and the photodegradation of sulforhodamine B under visible light irradiation ,Applied Surface Science,2011/6/1
doi:10.1016/j.fuel.2020.117738,"Preparation of three-dimensionally ordered macroporous MFe2O4 (M = Co, Ni, Cu) spinel catalyst and its simultaneous catalytic application in CO oxidation and NO + CO reaction ",Fuel,2020/7/15
doi:10.1016/S0926-3373(99)00092-2,Selective catalytic reduction of NO with ammonia over V2O5 doped TiO2 pillared clay catalysts ,Applied Catalysis B: Environmental,2000/1/3
doi:10.1016/j.catcom.2013.10.017,"Enhanced alkali resistance of CeO2/SO4
               2−–ZrO2 catalyst in selective catalytic reduction of NOx by ammonia ",Catalysis Communications,2014/1/5
doi:10.1016/j.materresbull.2013.12.003,"Lanthanum-promoted copper-based hydrotalcites derived mixed oxides for NO
                  x
                adsorption, soot combustion and simultaneous NO
                  x
               -soot removal ",Materials Research Bulletin,2014/3/31
doi:10.1016/j.jhazmat.2011.05.101,"Promotional effects of carbon nanotubes on V2O5/TiO2 for NO
                  X
                removal ",Journal of Hazardous Materials,2011/8/30
doi:10.1016/j.apcatb.2012.02.028,"NO
                  x
                storage and reduction properties of model ceria-based lean NO
                  x
                trap catalysts ",Applied Catalysis B: Environmental,2012/5/30
doi:10.1016/j.jece.2021.107009,Excellent activity caused by dielectric barrier discharge (DBD) plasma activation for selective catalytic reduction with propylene (C3H6-SCR): Insight into the low temperature catalytic behavior of Mn/ZSM-5 catalysts ,Journal of Environmental Chemical Engineering,2022/4/30
doi:10.1016/j.fuel.2015.12.037,Effects of water vapor and Na/K additives on NO reduction through advanced biomass reburning ,Fuel,2016/4/15
doi:10.1016/j.apcata.2009.01.028,Selective catalytic reduction of nitrogen oxide by ammonia on Mn(Fe)-substituted Sr(La) aluminates ,Applied Catalysis A: General,2009/4/15
doi:10.1016/j.eti.2021.101886,Determining influence of catalyst-reductant morphology on two different mechanisms of SCR by MOFs ,Environmental Technology & Innovation,2021/11/30
doi:10.1016/j.jclepro.2022.133553,Constructing n-type doped perovskite from Ti-bearing solid waste to boost the NO-to-NO2 oxidation ,Journal of Cleaner Production,2022/10/20
doi:10.1016/j.jre.2020.06.017,"New insights into MnCe(Ba)O
                  x
               /TiO2 composite oxide catalyst: Barium additive accelerated ammonia conversion ",Journal of Rare Earths,2021/5/31
doi:10.1016/j.jece.2022.108114,Mechanistic insight into the dynamic transformation of acid sites on ceria supported molybdenum oxide catalyst for NOx reduction ,Journal of Environmental Chemical Engineering,2022/10/31
doi:10.1016/j.jcat.2010.02.019,Remarkable influence of reductant structure on the activity of alumina-supported silver catalyst for the selective catalytic reduction of NOx ,Journal of Catalysis,2010/5/4
doi:10.1016/j.powtec.2017.04.015,Surfactant free synthesis of gold nanoparticles within meso-channels of non-functionalized SBA-15 for its promising catalytic activity ,Powder Technology,2017/6/15
doi:10.1016/j.apsusc.2016.07.121,"Catalytic activity and mechanistic approach of NO reduction by CO over M0.05Co2.95O4 (M=Rh, Pd & Ru) spinel system ",Applied Surface Science,2016/12/15
doi:10.1016/j.joei.2018.07.002,Comparative study of the poisoning effect of NaCl and Na2O on selective catalytic reduction of NO with NH3 over V2O5-WO3/TiO2 catalyst ,Journal of the Energy Institute,2019/8/31
doi:10.1016/j.apsusc.2021.151571,Vanadium catalyst based on a tungsten trioxide structure modified with antimony in NH3-selective catalytic reduction for improved low-temperature activity ,Applied Surface Science,2022/2/1
doi:10.1016/j.catcom.2021.106282,The influence of CNTs addition on Mn-Ce/TiO2 catalyst for low-temperature NH3-SCR of NO ,Catalysis Communications,2021/4/30
doi:10.1016/j.fuel.2022.124050,Bifunctional Mn-Cu-CeOx/γ-Al2O3 catalysts for low-temperature simultaneous removal of NOx and CO ,Fuel,2022/8/1
doi:10.1016/j.colsurfa.2013.08.047,"Defect structure and evolution mechanism of O2
               − radical in F-doped V2O5/TiO2 catalysts ",Colloids and Surfaces A: Physicochemical and Engineering Aspects,2013/9/5
doi:10.1016/j.jhazmat.2019.121210,In-situ modified the surface of Pt-doped perovskite catalyst for soot oxidation ,Journal of Hazardous Materials,2020/2/5
doi:10.1016/j.jece.2022.108849,Selection of additives to improve the efficiency of NOx and SO2 treatment in electron beam process ,Journal of Environmental Chemical Engineering,2022/12/31
doi:10.1016/j.apcata.2015.01.013,Influence of tungsten on the activity of a Mn/Ce/W/Ti catalyst for the selective catalytic reduction of NO with NH3 at low temperatures ,Applied Catalysis A: General,2015/5/31
doi:10.1016/j.jcat.2004.04.026,Probing into the catalytic nature of Co/sulfated zirconia for selective reduction of NO with methane ,Journal of Catalysis,2004/7/25
doi:10.1016/j.micromeso.2015.09.042,"Exchanged lanthanum in InHMOR and its impact on the catalytic performance of InHMOR. Spectroscopic, volumetric and microscopic studies ",Microporous and Mesoporous Materials,2016/3/1
doi:10.1016/j.scitotenv.2020.140158,"A new insight into the promotional effect of nitrogen-doping in activated carbon for selective catalytic reduction of NOX with NH3
             ",Science of The Total Environment,2020/10/20
doi:10.1016/j.catcom.2007.03.033,"Novel promoting effect of SO2 on the selective catalytic reduction of NO
                  x
                by ammonia over Co3O4 catalyst ",Catalysis Communications,2007/12/31
doi:10.1016/j.ijhydene.2019.05.198,Comparative analysis of various techniques to improve the performance of novel wheat germ oil – an experimental study ,International Journal of Hydrogen Energy,2020/2/19
doi:10.1016/j.molcata.2015.02.018,"Property, active species and reaction mechanism of NO and NH3 over mesoporous Fe-Al-SBA-15 via microwave assisted synthesis for NH3-SCR ",Journal of Molecular Catalysis A: Chemical,2015/7/31
doi:10.1016/j.catcom.2011.04.017,Catalytic oxidation of gas-phase mercury over Co/TiO2 catalysts prepared by sol–gel method ,Catalysis Communications,2011/8/15
doi:10.1016/j.cattod.2016.01.014,"Characterization of the active species in the silver/alumina system for lean NO
                  x
                reduction with methanol ",Catalysis Today,2016/6/1
doi:10.1016/j.cattod.2016.06.025,"
               In situ FT-IR study of highly dispersed MnO
                  x
               /SAPO-34 catalyst for low-temperature selective catalytic reduction of NO
                  x
                by NH3
             ",Catalysis Today,2017/3/1
doi:10.1016/S1387-1811(99)00242-5,Characterization of copper-exchanged ZSM-5 and ETS-10 catalysts with low and high degrees of exchange ,Microporous and Mesoporous Materials,2000/4/30
doi:10.1016/j.molcata.2013.06.005,The selective catalytic reduction of NO with propene over Cu-supported Ti–Ce mixed oxide catalysts: Promotional effect of ceria ,Journal of Molecular Catalysis A: Chemical,2013/11/1
doi:10.1016/j.cej.2017.06.014,"Simultaneous removal of Hg0 and NO from flue gas by Co0.3-Ce0.35-Zr0.35O2 impregnated with MnOx
             ",Chemical Engineering Journal,2017/10/15
doi:10.1016/j.apcata.2020.117465,Doped barium cerate perovskite catalysts for simultaneous NOx storage and soot oxidation ,Applied Catalysis A: General,2020/6/25
doi:10.1016/j.jhazmat.2019.121212,Novel Fe-doped CePO4 catalyst for selective catalytic reduction of NO with NH3: The role of Fe3+ ions ,Journal of Hazardous Materials,2020/2/5
doi:10.1016/j.ces.2015.11.007,"Effect of copper precursor on simultaneous removal of PM and NO
                  x
                of a 2-way SCR/CDPF ",Chemical Engineering Science,2016/2/17
doi:10.1016/j.cattod.2021.09.029,Preparation of Fe@MFI and CuFe@MFI composite hydrogenation catalysts by reductive demetallation of Fe-zeolites ,Catalysis Today,2022/5/1
doi:10.1016/j.cattod.2016.05.051,The study of C3H8-SCR on Ag/Al2O3 catalysts with the presence of CO ,Catalysis Today,2017/3/1
doi:10.1016/j.joei.2019.07.002,Nitrogen oxides reduction by liquid petroleum gas over Co–Ce–Ti catalysts in a simulated rotary reactor ,Journal of the Energy Institute,2020/4/30
doi:10.1016/j.apsusc.2014.06.118,"Effect of rutile phase on V2O5 supported over TiO2 mixed phase for the selective catalytic reduction of NO with NH3
             ",Applied Surface Science,2014/9/30
doi:10.1016/j.ijhydene.2011.02.124,A combined system of dimethyl ether (DME) steam reforming and lean NOx trap catalysts to improve NOx reduction in DME engines ,International Journal of Hydrogen Energy,2011/6/30
doi:10.1016/S1872-2067(11)60520-2,Effects of cerium on the selective catalytic reduction activity and structural properties of manganese oxides supported on multi-walled carbon nanotubes catalysts ,Chinese Journal of Catalysis,2013/6/30
doi:10.1016/j.apcatb.2012.08.016,"The influence of silicon on the catalytic properties of Cu/SAPO-34 for NO
                  x
                reduction by ammonia-SCR ",Applied Catalysis B: Environmental,2012/10/30
doi:10.1016/j.fuel.2018.01.083,"Influence of calcination temperature on Fe0.8Mg0.2O
                  z
                catalyst for selective catalytic reduction of NO
                  x
                with NH3
             ",Fuel,2018/5/1
doi:10.1016/j.jiec.2013.08.012,"NO
                  x
                removal efficiency and N2 selectivity during selective catalytic reduction processes over Al2O3 supported highly cross-linked polyethylene catalysts ",Journal of Industrial and Engineering Chemistry,2014/7/25
doi:10.1016/j.jcat.2020.08.002,"Synergy of vanadia and ceria in the reaction mechanism of low-temperature selective catalytic reduction of NOx by NH3
             ",Journal of Catalysis,2020/11/30
doi:10.1016/j.apcatb.2013.08.041,Chemical deactivation by phosphorous under lean hydrothermal conditions over Cu/BEA NH3-SCR catalysts ,Applied Catalysis B: Environmental,2014/4/5
doi:10.1016/j.cattod.2019.03.021,"Effect of support preparation with different concentration precipitant on the NO
                  x
                storage performance of Pt/BaO/CeO2 catalysts ",Catalysis Today,2020/1/1
doi:10.1016/j.jhazmat.2020.123011,A MnOx@Eu-CeOx nanorod catalyst with multiple protective effects: Strong SO2-tolerance for low temperature DeNOx processes ,Journal of Hazardous Materials,2020/11/15
doi:10.1016/j.micromeso.2021.111271,One-step ion-exchange from Na-SSZ-13 to Cu-SSZ-13 for NH3-SCR by adjusting the pH value of Cu-exchange solution: The effect of H+ ions on activity and hydrothermal stability ,Microporous and Mesoporous Materials,2021/9/30
doi:10.1016/j.catcom.2014.02.016,Low-temperature selective catalytic reduction of NO over MnOx/CNTs catalysts Effect of thermal treatment condition,Catalysis Communications,2014/5/5
doi:10.1016/j.apcatb.2012.06.014,"Optimisation of Ag loading and alumina characteristics to give sulphur-tolerant Ag/Al2O3 catalyst for H2-assisted NH3-SCR of NOx
             ",Applied Catalysis B: Environmental,2012/8/21
doi:10.1016/j.catcom.2014.10.007,Novel promoting effect of acid modification on selective catalytic reduction of NO with ammonia over CeO2 catalyst ,Catalysis Communications,2015/1/10
doi:10.1016/j.cej.2018.11.068,"Simultaneous removal of NOx and SO2 with H2O2 catalyzed by alkali/magnetism-modified fly ash: High efficiency, Low cost and Catalytic mechanism ",Chemical Engineering Journal,2019/3/1
doi:10.1016/j.proci.2022.10.021,Simultaneous catalytic ozonation of NO and dichloromethane on Mn/H-ZSM-5 catalysts: Interaction effect and mechanism ,Proceedings of the Combustion Institute,2022/11/24
doi:10.1016/j.mcat.2021.111570,Facile hydrothermal preparation of a ZnFe2O4/TiO2 heterojunction for NOx removal ,Molecular Catalysis,2021/5/31
doi:10.1016/j.ijhydene.2018.11.196,H2SO4 poisoning of Ru-based and Ni-based catalysts for HI decomposition in SulfurIodine cycle for hydrogen production ,International Journal of Hydrogen Energy,2019/4/19
doi:10.1016/j.jhazmat.2020.122986,Environmental benign synthesis of Nano-SSZ-13 via FAU trans-crystallization: Enhanced NH3-SCR performance on Cu-SSZ-13 with nano-size effect ,Journal of Hazardous Materials,2020/11/5
doi:10.1016/j.apcatb.2013.04.030,"The effect of SiO2 on a novel CeO2–WO3/TiO2 catalyst for the selective catalytic reduction of NO with NH3
             ",Applied Catalysis B: Environmental,2013/9/30
doi:10.1016/j.apcata.2022.118754,Selective catalytic reduction of NOx with NH3 over a novel MOF- derived MnOx catalyst ,Applied Catalysis A: General,2022/8/5
doi:10.1016/j.molcata.2004.09.083,Catalytic reduction of N2O by various hydrocarbons over Fe-ZSM-5: nature and reactivity of carbonaceous deposits ,Journal of Molecular Catalysis A: Chemical,2005/3/1
doi:10.1016/j.fuproc.2017.07.015,SO3 formation and the effect of fly ash in a bubbling fluidised bed under oxy-fuel combustion conditions ,Fuel Processing Technology,2017/12/1
doi:10.1016/j.apcatb.2009.01.029,Effect of the pressure on the catalytic oxidation of volatile organic compounds over Ag/Al2O3 catalyst ,Applied Catalysis B: Environmental,2009/7/15
doi:10.1016/j.jcat.2010.03.007,Dehydrogenation of propane over In2O3–Al2O3 mixed oxide in the presence of carbon dioxide ,Journal of Catalysis,2010/5/25
doi:10.1016/j.fuel.2016.11.095,"CrO3 supported on sargassum-based activated carbon as low temperature catalysts for the selective catalytic reduction of NO with NH3
             ",Fuel,2017/3/1
doi:10.1016/j.jcat.2010.04.023,NO evolution reaction with NO2 adsorption over Fe/ZSM-5: In situ FT-IR observation and relationships with Fe sites ,Journal of Catalysis,2010/7/7
doi:10.1016/j.apcata.2004.01.001,Cooperation of Pt/Al2O3 and In/Al2O3 catalysts for NO reduction by propene in lean burn condition ,Applied Catalysis A: General,2004/6/30
doi:10.1016/j.jes.2022.12.010,Low-temperature NH3-SCR performance of a novel Chlorella@Mn composite denitrification catalyst ,Journal of Environmental Sciences,2022/12/20
doi:10.1016/S0926-860X(01)00658-5,An XPS study of La2O3 and In2O3 influence on the physicochemical properties of MoO3/TiO2 catalysts ,Applied Catalysis A: General,2001/10/5
doi:10.1016/j.cattod.2010.10.079,Hydrogen production by steam reforming (SR) of DME over Cu catalysts and de-NOx performance of a combined system of SR+LNT ,Catalysis Today,2011/4/30
doi:10.1016/j.cej.2019.122910,"Effects of anaerobic SO2 treatment on nano-CeO2 of different morphologies for selective catalytic reduction of NOx with NH3
             ",Chemical Engineering Journal,2020/2/15
doi:10.1016/j.jiec.2016.02.024,"Effectively promote catalytic performance by adjusting W/Fe molar ratio of FeW
                  x
               /Ce0.68Zr0.32O2 monolithic catalyst for NH3-SCR ",Journal of Industrial and Engineering Chemistry,2016/4/25
doi:10.1016/j.jallcom.2016.08.205,Photocatalytic removal of NO from coal-fired flue gas by H2O2/UV reaction over TiS catalyst ,Journal of Alloys and Compounds,2017/1/15
doi:10.1016/j.cattod.2012.08.030,"Activity of mesoporous-MnO
                  x
                (m-MnO
                  x
               ) and CuO/m-MnO
                  x
                for catalytic reduction of NO with CO ",Catalysis Today,2013/9/1
doi:10.1016/j.cattod.2011.10.007,"Influence of calcination temperature on Fe/HBEA catalyst for the selective catalytic reduction of NO
                  x
                with NH3
             ",Catalysis Today,2012/4/30
doi:10.1016/j.cattod.2015.03.036,"MnO
                  x
               -CeO2 catalysts synthesized by solution combustion synthesis for the low-temperature NH3-SCR ",Catalysis Today,2015/9/15
doi:10.1016/j.jcat.2015.05.016,Highly efficient and robust Mg0.388Al2.408O4 catalyst for gas-phase decarbonylation of lactic acid to acetaldehyde ,Journal of Catalysis,2015/9/30
doi:10.1016/j.fuel.2020.119430,Cold-start NOx emissions: Diesel and waste lubricating oil as a fuel additive ,Fuel,2021/2/15
doi:10.1016/j.jre.2018.07.002,"Surface exsolution and local atomic structure of amorphous CeTiO
                  x
               
             ",Journal of Rare Earths,2019/2/28
doi:10.1016/j.micromeso.2012.04.056,Changing active sites in Cu–CHA catalysts: deNOx selectivity as a function of the preparation method ,Microporous and Mesoporous Materials,2013/1/15
doi:10.1016/j.ijhydene.2022.07.041,Effect of MnOx phase on Pt-based catalyst for enhancing CO/C3H6/NO oxidation performance ,International Journal of Hydrogen Energy,2022/8/19
doi:10.1016/S0926-860X(01)00960-7,"TiO2–SiO2 mixed oxide modified with H2SO4
             II. Acid properties and their SCR reactivity",Applied Catalysis A: General,2002/3/28
doi:10.1016/j.jcat.2007.10.004,"Flame-synthesized LaCoO3-supported Pd 1. Structure, thermal stability and reducibility",Journal of Catalysis,2007/12/10
doi:10.1016/j.jiec.2011.11.061,A study on utilization of stainless steel wire cloth as a catalyst support ,Journal of Industrial and Engineering Chemistry,2012/3/25
doi:10.1016/j.cattod.2019.08.018,"Environmentally-friendly tourmaline modified CeMnFeOx catalysts for low-temperature selective catalytic reduction of NOx with NH3
             ",Catalysis Today,2020/9/15
doi:10.1016/S0926-860X(02)00089-3,Studies on the preparation of supported metal oxide catalysts using JRC-reference catalysts II. Vanadia–titania catalyst: effect of starting solution and phase of titania,Applied Catalysis A: General,2002/6/10
doi:10.1016/j.energy.2014.02.101,A method for estimating the temperature downstream of the SCR (selective catalytic reduction) catalyst in diesel engines ,Energy,2014/4/15
doi:10.1016/j.jece.2021.107038,Excellent sulfur tolerance performance over Fe-SO4/TiO2 catalysts for NH3-SCR: Influence of sulfation and Fe-based sulfates ,Journal of Environmental Chemical Engineering,2022/2/28
doi:10.1016/j.molstruc.2021.129924,4Cu-ZSM-5 catalyst for the selective catalytic reduction of NO with NH3 and oxidation of elemental mercury ,Journal of Molecular Structure,2021/4/15
doi:10.1016/j.apcatb.2011.01.021,"NO reduction property of apatite-type La8A2Si6O26 (A=Ca, Sr, Ba) supported Pt catalyst ",Applied Catalysis B: Environmental,2011/3/14
doi:10.1016/j.jcat.2007.07.016,Vanadia-based SCR catalysts supported on tungstated and sulfated zirconia: Influence of doping with potassium ,Journal of Catalysis,2007/10/25
doi:10.1016/j.apcatb.2014.01.017,Novel sulfation effect on low-temperature activity enhancement of CeO2-added Sb-V2O5/TiO2 catalyst for NH3-SCR ,Applied Catalysis B: Environmental,2014/6/25
doi:10.1016/j.apsusc.2016.07.022,"
               In situ DRIFTs investigation of the reaction mechanism over MnOx-MOy/Ce0.75Zr0.25O2 (M=Fe, Co, Ni, Cu) for the selective catalytic reduction of NOx with NH3
             ",Applied Surface Science,2016/11/30
doi:10.1016/j.cattod.2017.06.015,NH3-SCR performance improvement over Mo modified Mo(x)-MnOx nanorods at low temperatures ,Catalysis Today,2017/11/15
doi:10.1016/j.fuproc.2008.12.017,"Catalytic removal of NO in waste incineration processes over Rh/Al2O3 and Rh–Na/Al2O3: Effects of particulates, heavy metals, SO2 and HCl ",Fuel Processing Technology,2009/4/30
doi:10.1016/j.jcat.2016.05.001,"One pot synthesis of WO
                  x
               /mesoporous-ZrO2 catalysts for the production of levulinic-acid esters ",Journal of Catalysis,2016/8/31
doi:10.1016/j.ceramint.2020.10.018,Preparation and low temperature denitrification properties of ferric oxide red supported manganese oxide and manganese cerium co-oxide catalyst ,Ceramics International,2021/6/1
doi:10.1016/j.apcatb.2014.10.001,"NO
                  x
                storage and reduction properties of model manganese-based lean NO
                  x
                trap catalysts ",Applied Catalysis B: Environmental,2015/4/30
doi:10.1016/S0926-860X(02)00211-9,"The promotion of cobalt mordenite by palladium for the lean CH4-SCR of NO
                  x
                in moist streams ",Applied Catalysis A: General,2002/8/8
doi:10.1016/j.carbon.2022.02.004,Graphene quantum dots/carbon nitride heterojunction with enhanced visible-light driven photocatalysis of nitric oxide: An experimental and DFT study ,Carbon,2022/5/31
doi:10.1016/j.catcom.2014.10.006,"A comparative study of the poisoning effect of Zn and Pb on Ce/TiO2 catalyst for low temperature selective catalytic reduction of NO with NH3
             ",Catalysis Communications,2015/1/10
doi:10.1016/j.cej.2017.10.017,Enhanced toluene combustion performance over Pt loaded hierarchical porous MOR zeolite ,Chemical Engineering Journal,2018/2/15
doi:10.1016/j.jes.2019.08.002,Transformation and removal of ammonium sulfate aerosols and ammonia slip from selective catalytic reduction in wet flue gas desulfurization system ,Journal of Environmental Sciences,2020/2/29
doi:10.1016/j.jssc.2021.122843,"Selective catalytic reduction of NOx with NH3 on Mn, Co-BTC-derived catalysts: Influence of thermal treatment temperature ",Journal of Solid State Chemistry,2022/3/31
doi:10.1016/j.seppur.2019.116141,Using dielectric barrier discharge and rotating packed bed reactor for NOx removal ,Separation and Purification Technology,2020/3/18
doi:10.1016/j.fuel.2019.116485,Simultaneous removal of NO and volatile organic compounds (VOCs) by Ce/Mo doping-modified selective catalytic reduction (SCR) catalysts in denitrification zone of coal-fired flue gas ,Fuel,2020/2/15
doi:10.1016/j.jre.2022.05.017,Fabrication of wide temperature lanthanum and cerium doped Cu/TNU-9 catalyst with excellent NH3-SCR performance and outstanding SO2+H2O tolerance ,Journal of Rare Earths,2022/5/31
doi:10.1016/j.catcom.2011.12.034,"Manganese doped CeO2–WO3 catalysts for the selective catalytic reduction of NO
                  x
                with NH3: An experimental and theoretical study ",Catalysis Communications,2012/3/31
doi:10.1016/j.cattod.2019.04.063,Catalytic decomposition of N2O on supported Rh catalysts ,Catalysis Today,2020/9/15
doi:10.1016/j.apcatb.2015.05.054,Evaluation of H2 effect on NO oxidation over a diesel oxidation catalyst ,Applied Catalysis B: Environmental,2015/12/31
doi:10.1016/j.cej.2014.12.038,Synergy of KCl and Hgel on selective catalytic reduction of NO with NH3 over V2O5–WO3/TiO2 catalysts ,Chemical Engineering Journal,2015/3/15
doi:10.1016/j.apcatb.2016.10.021,Efficiency of Cu and Pd substitution in Fe-based perovskites to promote N2 formation during NH3 selective catalytic oxidation (NH3-SCO) ,Applied Catalysis B: Environmental,2017/4/30
